Time,P (deg/s),Q (deg/s),R (deg/s),P dot (deg/s^2),Q dot (deg/s^2),R dot (deg/s^2),P_{inertial} (deg/s),Q_{inertial} (deg/s),R_{inertial} (deg/s),q bar (psf),Reynolds Number,V_{Total} (ft/s),V_{Inertial} (ft/s),UBody,VBody,WBody,UdotBody,VdotBody,WdotBody,UdotBody_i,VdotBody_i,WdotBody_i,BodyAccel_X,BodyAccel_Y,BodyAccel_Z,Aero V_{X Body} (ft/s),Aero V_{Y Body} (ft/s),Aero V_{Z Body} (ft/s),V_{X_{inertial}} (ft/s),V_{Y_{inertial}} (ft/s),V_{Z_{inertial}} (ft/s),V_{X_{ecef}} (ft/s),V_{Y_{ecef}} (ft/s),V_{Z_{ecef}} (ft/s),V_{North} (ft/s),V_{East} (ft/s),V_{Down} (ft/s),I_{xx},I_{xy},I_{xz},I_{yx},I_{yy},I_{yz},I_{zx},I_{zy},I_{zz},Mass,Weight,X_{cg},Y_{cg},Z_{cg},Altitude ASL (ft),Altitude AGL (ft),Phi (deg),Theta (deg),Psi (deg),Q(1)_{LOCAL},Q(2)_{LOCAL},Q(3)_{LOCAL},Q(4)_{LOCAL},Q(1)_{ECEF},Q(2)_{ECEF},Q(3)_{ECEF},Q(4)_{ECEF},Q(1)_{ECI},Q(2)_{ECI},Q(3)_{ECI},Q(4)_{ECI},Alpha (deg),Beta (deg),Latitude (deg),Latitude Geodetic (deg),Longitude (deg),X_{ECI} (ft),Y_{ECI} (ft),Z_{ECI} (ft),X_{ECEF} (ft),Y_{ECEF} (ft),Z_{ECEF} (ft),Earth Position Angle (deg),Distance AGL (ft),Terrain Elevation (ft),navigation/actual-heading-rad,propulsion/tank[0]/contents-volume-gal,propulsion/tank[1]/contents-volume-gal,systems/mixture-cmd-norm,guidance/wp-heading-rad,guidance/wp-distance,guidance/wp-heading-deg,guidance/selected_target_heading,guidance/angle-to-heading-rad,ap/roll-control-autopilot-on,ap/roll-autopilot-windup-trigger,ap/limited-roll-angle-rad,ap/roll-attitude-selector,ap/limited-roll-angle-error,ap/roll-rate-pid-control,ap/total-limited-roll-rate,ap/roll-rate-saturation,ap/limited-roll-rate-error,ap/roll-command-pid-control,ap/roll-cmd-smoother,ap/roll-cmd-norm-output,ap/roll-command-selector-steering,fcs/attitude/sensor/phi-rad,fcs/wing-leveler-ap-on-off,fcs/roll-ap-error-pid,fcs/roll-ap-autoswitch,fcs/heading-true-degrees,fcs/heading-error,fcs/heading-error-bias-switch,fcs/heading-corrected,fcs/heading-command,fcs/heading-roll-error-lag,fcs/heading-roll-error,fcs/heading-roll-error-switch,fcs/heading-pi-controller,fcs/roll-command-selector,fcs/altitude-error,fcs/alt-error-lag,fcs/hdot-command,fcs/hdot-error,fcs/ap-alt-hold-switch,fcs/windup-trigger,fcs/altitude-hold-pid,fcs/elevator,fcs/pitch-trim-sum,fcs/elevator-control,fcs/elevator-actuator,fcs/roll-trim-sum,fcs/left-aileron-control,fcs/left-aileron-actuator,fcs/right-aileron-control,fcs/right-aileron-actuator,fcs/delta-aileron-pos,fcs/effective-aileron-pos,fcs/yaw-trim-sum,fcs/rudder-control,fcs/flaps-control,fcs/flap-position-normalizer,IO320 Power Available (engine 0 in ft-lbs/sec),IO320 HP (engine 0),IO320 equivalent ratio (engine 0),IO320 MAP (engine 0 in inHg),Fixed-Pitch 75-inch Two-Blade Propeller Torque (engine 0),Fixed-Pitch 75-inch Two-Blade Propeller PFactor Pitch (engine 0),Fixed-Pitch 75-inch Two-Blade Propeller PFactor Yaw (engine 0),Fixed-Pitch 75-inch Two-Blade Propeller Thrust (engine 0 in lbs),Fixed-Pitch 75-inch Two-Blade Propeller RPM (engine 0),Fuel Tank 0,Fuel Tank 1,/fdm/jsbsim/position/vrp-gc-latitude_deg,/fdm/jsbsim/position/vrp-longitude_deg,/fdm/jsbsim/position/vrp-radius-ft,velocities/pi-deg_sec
0,0,0,0,-2.812359303118484,34.91105099093554,0.1097825156575318,0.004178074132240403,0,9.277188200408133e-19,11.48770493,2523409.639,133.9322046,1533.21858429,133.9322046001824,0,0,-1.352548628429905,-4.337192996519952e-18,22.74554259257622,-22.85691926889408,0,-1.3525486284299,-1.352548628429898,0,-9.281298709272729,133.9322046001824,0,0,2.973892345718596e-14,1527.357650254479,133.9322046001824,2.973892345718596e-14,0,133.9322046001824,133.9322046001824,0,-2.973892345718596e-14, 1337.930962, 2.857725524,-7.063917207, 2.857725524, 1379.179417, 7.371507843,-7.063917207, 7.371507843, 2338.252732,55.13760484,1774,40.97745208568207,-1.499436302142052,36.83934611048478,19685.039370079,22965.879265095,0,1.272221872585407e-14,0,1,0,1.110223024625157e-16,0,0.7071067811865476,0,-0.7071067811865475,0,0.7071067811865476,0,-0.7071067811865475,0,0,0,0,0,0,20945331.36483008,0,0,20945331.36483008,0,0,0,22965.879265095,-3280.8398950125,0.003,9.84848485,9.84848485,0.465830736,3.14159265,0,180.013259,3.14159265,3.13859265,0,1,0.523,0,0,0,0.348,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,-100,-0.497512438,-0.0139303483,-0.0139303483,0,0,0,-0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,-825,-1.5,1.29953,29.9213,0,0,0,-0,0,65,65,-3.69872189791986938e-07,3.41807957492594514e-07,20945331.5032179058,0.00417807413224040303
0.1,-0.0274153415341016,0.2502680557063615,-0.02516387340856568,0.3669322216225299,2.781660136025206,-0.3019120815722821,-0.02324603959453178,0.2502682583493896,-0.02489327268770286,11.51251158,2526132.694,134.07673489,1533.22719196,133.7960597020573,0.002456470161900251,8.670942329876393,1.674823819481486,0.06629934951182581,0.4796451996915607,0.1041013705201692,0.01171731118488617,1.702318107406122,3.786996459866782,-0.00484731809920134,-32.06437093702194,133.7960597020578,0.002456470161900242,8.67094232987642,0.002791211335045141,1527.353610498153,134.0767342165403,0.01281505546170969,-0.004039842086641505,134.0767342165403,134.0767342090894,-0.00403984208638787,-0.01289277439445868, 1337.930962, 2.857725524,-7.063917207, 2.857725524, 1379.179417, 7.371507843,-7.063917207, 7.371507843, 2338.252732,55.13760484,1774,40.97745208568207,-1.499436302142052,36.83934611048478,19685.039847359,22965.879742371,0.02964369728951484,3.713500857510888,359.9991409958046,0.9994749247659044,0.0002587971173510617,0.03240073357590562,-1.587403807115509e-05,0.7296460771618468,0.0001942217800434444,-0.6838249299743323,0.0001717726057363201,-0.729646076594255,-0.0001964657185555526,0.6838249293333212,-0.0001741669041321744,3.7079912672521,0.0010497374723528,3.2989951763192e-05,3.3212077071687e-05,-1.1339915733037e-09,20945331.36485279,137.4617739774017,12.05997155947164,20945331.36530387,-0.000414547624103534,12.05997155947164,0.00037602667190164,22965.879742371,-3280.8398950125,6.28617031,9.84848485,9.84848485,0.465830727,3.14155828,12.0485609,180.011289,3.14155828,3.13857327,0,1,0.523,0,-0.00051738012,-0.0154633556,0.348,0,-0.0149077476,-0.037269369,-0.0374755677,0,0,0,-1,0.0160008411,0,360.025659,-360.025659,360,-0.0256590339,-0.000447750142,-0.000205368825,-0.000722748945,0,0,0,-100,-97.3351375,-2.72538385,-2.73827662,0,0,0,-0,-0.0630125575,-0.0307879356,-0.0278655192,-0.000602060714,-0.000210119189,0.00226727293,0.000157589392,-0.0023254547,0.00459272763,0.00229636382,-6.40050616e-05,-1.78702132e-05,0,0,50045.9,90.9925,1.29953,13.0211,190.69,-1.80397e-05,10.5402,223.343,2506.88,65,65,3.2596354464532268e-05,3.40875680095821679e-07,20945331.4945827127,-0.0232460395945317776
0.2,-0.02044803751086097,0.4893602817591096,-0.05229463066849046,-0.2521972993963199,1.898824915838801,-0.233464801663671,-0.01627890889129772,0.4893607514130668,-0.05202137293765702,11.54173875,2529337.175,134.246825611,1533.24309398,133.962365295901,0.0120513284060651,8.734685212332261,1.644467632857119,0.1278326341766949,0.8027347802652898,0.3417563442018476,0.008718654042472865,1.693070630901883,3.813766752640168,-0.006645342731522374,-32.29969930307729,133.9623652959015,0.01205132840606512,8.734685212332289,0.02436953422773264,1527.354633520188,134.2468178560968,0.04553100514610087,-0.003017451245521098,134.2468178560968,134.2468178002432,-0.003017451243858219,-0.04569539122639554, 1337.930962, 2.857725524,-7.063917207, 2.857725524, 1379.179417, 7.371507843,-7.063917207, 7.371507843, 2338.252732,55.13760484,1774,40.97745208568207,-1.499436302142052,36.83934611048478,19685.042577036,22965.88247205,0.02748884170978421,3.750053711631006,359.9953572752246,0.9994645422446793,0.0002410826000958481,0.03271954061108572,-4.834266503123469e-05,0.7298639458886567,0.0002046544716923817,-0.6835923931949621,0.000136287827061993,-0.7298639449270082,-0.0002093900643145209,0.6835923917608134,-0.0001413439662950675,3.7305491445567,0.0051434382375727,6.9689815638316e-05,7.0159045539186e-05,-2.0925544300894e-09,20945331.3660111,290.1971886186325,25.4761571258189,20945331.36802144,-0.000764964650386446,25.4761571258189,0.00079383408512568,22965.88247205,-3280.839895019,6.28610428,9.84848485,9.84848485,0.465830674,3.14156263,25.4520527,180.011539,3.14156263,3.13864366,0,1,0.523,0,-0.000479770795,-0.0143552507,0.348,0,-0.0140332986,-0.0350832464,-0.0354155932,0,0,0,-1,0.0175501004,0,360.021875,-360.021875,360,-0.0218750346,-0.000381719354,-0.000215759011,-0.000695529807,0,0,0,-100,-97.5887347,-2.73248457,-2.77817996,0,0,0,-0,-0.0651668172,-0.0318405069,-0.0278655192,-0.000559512585,-0.000195269892,0.00226727293,0.000146452419,-0.0023254547,0.00459272763,0.00229636382,-0.00037021304,-0.000103363481,0,0,47236.7,85.885,1.29953,12.5509,179.708,0.00778523,10.604,224.053,2510.09,65,65,6.92960145599775677e-05,3.39928896394437958e-07,20945331.4972251803,-0.0162789088912977213
0.3,-0.06590732964649983,0.6394754312742973,-0.07259501657703674,-0.6689798583617257,1.034059013061877,-0.1667128966430247,-0.06173847215861657,0.6394763339469405,-0.07231765420504269,11.57055712,2532492.742,134.414337009,1533.25843341,134.124749134118,0.02664561919077558,8.818443922148347,1.598255414030529,0.1639484840412599,0.8714411455591602,0.6254279790812447,0.004124556757834441,1.651442197713644,3.822882780478475,-0.008849819472211166,-32.58173514394176,134.1247491341185,0.02664561919077566,8.818443922148376,0.07261205430681432,1527.355300959417,134.4142960462275,0.104911165658411,-0.002351936037310473,134.4142960462275,134.4142958497912,-0.002351936032153299,-0.1051625425878484, 1337.930962, 2.857725524,-7.063917207, 2.857725524, 1379.179417, 7.371507843,-7.063917207, 7.371507843, 2338.252732,55.13760484,1774,40.97745208568207,-1.499436302142052,36.83934611048478,19685.049882445,22965.88977746,0.02334139058999201,3.806504200080418,359.9891707748603,0.9994483066127193,0.0002067183049786721,0.03321188690658488,-0.0001012156824625214,0.7302003866199602,0.000217742124125697,-0.6832330074015734,7.460180547363253e-05,-0.7302003857903347,-0.0002249663339229543,0.6832330050610697,-8.232262799812036e-05,3.7616730499229,0.011358025982336,0.00010643592311353,0.00010715256897026,-2.8165175541995e-09,20945331.37062269,442.932689142096,38.90924774560285,20945331.37530607,-0.001029620226802308,38.90924774560285,0.0012116414983497,22965.88977746,-3280.8398950124,6.2859963,9.84848485,9.84848485,0.465830532,3.14156619,38.8724335,180.011743,3.14156619,3.1387552,0,1,0.523,0,-0.000407384118,-0.0121093869,0.348,0,-0.0110699418,-0.0276748544,-0.0287562995,0,0,0,-1,0.00130597531,0,360.015688,-360.015688,360,-0.0156880786,-0.000273756971,-0.00022134353,-0.000628727648,0,0,0,-100,-97.8181987,-2.73890956,-2.84407211,0,0,0,-0,-0.0669877448,-0.0327302121,-0.0278655192,-0.000487672942,-0.000170197857,0.00226727293,0.000127648392,-0.0023254547,0.00459272763,0.00229636382,-0.000855923779,-0.000238973919,0,0,44584.7,81.0631,1.29953,12.1204,169.767,0.0235325,10.6519,223.515,2507.36,65,65,0.000106041809331776059,3.39220126204324011e-07,20945331.5043975748,-0.0617384721586165738
0.4,-0.1455148284657524,0.7093818593515755,-0.08650941054649361,-0.9254850888105262,0.3262816361315278,-0.1070190294649628,-0.1413463017103551,0.7093832907035217,-0.08622712328984695,11.59847299,2535545.538,134.576420958,1533.27267954,134.2817663059186,0.04373645227735563,8.900472046079019,1.538724094533374,0.1760962946388596,0.7634639587374998,0.8971784637696274,-0.004311098205718496,1.584464536184399,3.812930660221663,-0.01118819651515207,-32.85284830156137,134.2817663059191,0.04373645227735577,8.900472046079047,0.1490389697158197,1527.355332454141,134.5762832948406,0.1924757158792225,-0.002324488207873212,134.5762832948406,134.5762828100268,-0.002324488196327626,-0.1928143928024824, 1337.930962, 2.857725524,-7.063917207, 2.857725524, 1379.179417, 7.371507843,-7.063917207, 7.371507843, 2338.252732,55.13760484,1774,40.97745208568207,-1.499436302142052,36.83934611048478,19685.064554304,22965.90444932,0.01285403847777605,3.87423006754346,359.9812397073054,0.9994285087011343,0.0001176425144078675,0.03380257576998154,-0.0001674126047334364,0.7306038471879192,0.0002015644315611587,-0.6828015645906773,-3.519253665176222e-05,-0.7306038476144806,-0.0002112736132262451,0.6828015616554763,2.480362446593775e-05,3.7921354233011,0.018620752080114,0.00014322715070512,0.00014419151631638,-3.4368647624916e-09,20945331.38147826,595.6682278358472,52.35883272830161,20945331.38994842,-0.001256397452038982,52.35883272830161,0.0016294489115738,22965.90444932,-3280.8398950123,6.28585788,9.84848485,9.84848485,0.465830247,3.14156866,52.309293,180.011884,3.14156866,3.13889609,0,1,0.523,0,-0.000224345294,-0.00648213674,0.348,0,-0.00410054841,-0.010251371,-0.0124750511,0,0,0,-1,-0.0309804869,0,360.007756,-360.007756,360,-0.00775642679,-0.000135349647,-0.000220597466,-0.000444942759,0,0,0,-100,-98.0258262,-2.74472313,-2.93753753,0,0,0,-0,-0.0684413083,-0.0334404232,-0.0278655192,-0.000295447998,-0.000103111351,0.00226727293,7.73335134e-05,-0.0023254547,0.00459272763,0.00229636382,-0.00143514487,-0.000400692448,0,0,42102.4,76.5498,1.29953,11.7266,160.775,0.0435405,10.665,221.955,2499.74,65,65,0.000142832663003643784,3.38585196742009604e-07,20945331.5189216435,-0.141346301710355143
0.5,-0.2448970422513001,0.7180575926760417,-0.09485935311112965,-1.0575223838538,-0.1645895790662501,-0.05650865133333671,-0.2407288725015112,0.718059589690728,-0.09457184588796241,11.62511082,2538454.863,134.730927241,1533.2851837,134.4321866198373,0.06103818978125231,8.966952106472574,1.467532479451579,0.1670643794583419,0.5589330093240683,1.12077402854154,-0.01795062095424097,1.498767498351702,3.783984958685482,-0.0134080433696274,-33.07701174305651,134.4321866198378,0.06103818978125253,8.966952106472604,0.2504572682178197,1527.354268701241,134.7305819007813,0.3050316069740848,-0.003395109435147589,134.7305819007813,134.7305809350391,-0.003395109412851649,-0.3054578715154985, 1337.930962, 2.857725524,-7.063917207, 2.857725524, 1379.179417, 7.371507843,-7.063917207, 7.371507843, 2338.252732,55.13760484,1774,40.97745208568207,-1.499436302142052,36.83934611048478,19685.089281533,22965.929176544,-0.00667627715323934,3.946010586645363,359.9721546360432,0.9994071281577718,-4.986092531089794e-05,0.0344286464181042,-0.0002408467159531011,0.7310312074268609,0.0001350476479161147,-0.6823439845669992,-0.0002055611575638432,-0.7310312109826849,-0.0001472381883662146,0.6823439820453847,0.0001925007866305257,3.816114251914,0.025957149222076,0.00018006168059132,0.0001812740575157,-4.1879699828613e-09,20945331.40126669,748.4037192698976,65.82424756457094,20945331.41463741,-0.00153097523048018,65.82424756457094,0.0020472563247978,22965.929176544,-3280.8398950154,6.28569931,9.84848485,9.84848485,0.465829766,3.14156939,65.7619673,180.011926,3.14156939,3.13905539,0,1,0.523,0,0.000116523018,0.00391615297,0.348,0,0.00800732766,0.0200183191,0.0164363644,0,0,0,-1,-0.0773047643,0,359.998671,-359.998671,360,0.00132931369,2.3196524e-05,-0.000212603964,-9.60809457e-05,0,0,0,-100,-98.2136952,-2.74998346,-3.05544134,0,0,0,-0,-0.0695612402,-0.033987622,-0.0278655192,7.49323214e-05,1.96135351e-05,0.00226727293,-2.61513802e-05,-0.0023254547,0.00459272763,0.00229636382,-0.00202906408,-0.00056651469,0,0,39795.2,72.3548,1.29953,11.3667,152.649,0.0644177,10.6316,219.578,2488.16,65,65,0.000179666797585768329,3.37767824594233722e-07,20945331.543510288,-0.240728872501511232
0.6,-0.3530411000035848,0.6875933452100956,-0.09858942447815981,-1.096130578431719,-0.4386321897873658,-0.01556112344903281,-0.3488732884225319,0.6875958984401956,-0.09829677526775005,11.6502009,2541191.73,134.87632571,1533.29525314,134.5749238515074,0.07657965188688103,9.011506138768226,1.385915814887556,0.1402361792995331,0.3254978348747315,1.280069575779898,-0.0374270963345153,1.400145366664379,3.73759135160457,-0.01528871107187886,-33.23814297515973,134.5749238515079,0.07657965188688132,9.011506138768256,0.3710850952333946,1527.351551932229,134.8756182856524,0.4367969263728622,-0.006122028296172045,134.8756182856525,134.8756166197069,-0.006122028254660796,-0.4373110400562172, 1337.930962, 2.857725524,-7.063917207, 2.857725524, 1379.179417, 7.371507843,-7.063917207, 7.371507843, 2338.252732,55.13760484,1774,40.97745208568207,-1.499436302142052,36.83934611048478,19685.126287479,22965.966182497,-0.03667385178908471,4.016712963603798,359.9624176454947,0.9993856251124809,-0.0003083493983624202,0.03504535682412545,-0.0003165505552784343,0.7314518623915263,5.799903420250788e-06,-0.6818929371392051,-0.0004418710184863995,-0.731451871727699,-2.046860647793268e-05,0.6818929368566644,0.0004261362166476806,3.8309634064403,0.032531217486486,0.00021693718103864,0.0002183978451344,-5.445137576556e-09,20945331.43221131,901.1390265534262,79.30463988212952,20945331.45159634,-0.001990551700487231,79.30463988212952,0.0024650637380218,22965.966182497,-3280.839895012,6.28552937,9.84848485,9.84848485,0.465829047,3.14156755,79.2296049,180.011821,3.14156755,3.13922349,0,1,0.523,0,0.000640079463,0.0198115344,0.348,0,0.0257820314,0.0644550786,0.0594332761,0,0,0,-1,-0.135559567,0,359.988933,-359.988933,360,0.0110670215,0.000193119525,-0.000196956165,0.000443123298,0,0,0,-100,-98.3836859,-2.75474321,-3.19205425,0,0,0,-0,-0.0704203894,-0.0344074023,-0.0278655192,0.00065518977,0.000171495922,0.00226727293,-0.00022866123,-0.0023254547,0.00459272763,0.00229636382,-0.00256955497,-0.000717419747,0,0,37663,68.4782,1.29953,11.0382,145.314,0.0833239,10.5485,216.56,2473.43,65,65,0.000216541909124692898,3.36379787515338783e-07,20945331.5804028511,-0.348873288422531902
0.7,-0.46183576953753,0.638193589913736,-0.09864615334220175,-1.067848817154751,-0.5335841544448857,0.01608191459067335,-0.4576683015362353,0.6381966551510605,-0.0983486562548181,11.67356126,2543736.829,135.011597389,1533.30220682,134.7090118519216,0.08873886972588767,9.033586265497377,1.295113239858514,0.09911490486065658,0.1111093644367642,1.374482289759193,-0.06280019043103367,1.293320580139126,3.676447395602007,-0.01664695420097212,-33.33558603895805,134.7090118519221,0.08873886972588801,9.033586265497407,0.5043509822755528,1527.346591170567,135.0103459472934,0.5812001254328916,-0.0110964270551727,135.0103459472934,135.0103433535848,-0.01109642697663707,-0.5818023210478689, 1337.930962, 2.857725524,-7.063917207, 2.857725524, 1379.179417, 7.371507843,-7.063917207, 7.371507843, 2338.252732,55.13760484,1774,40.97745208568207,-1.499436302142052,36.83934611048478,19685.177164882,22966.017059892,-0.0775998964912606,4.083360638557596,359.9524396280462,0.9993648694305513,-0.0006619703305118607,0.03562677270602915,-0.0003906531601505547,0.7318480888308322,-0.0001918485970927993,-0.6814673756387439,-0.000744317685589018,-0.7318481073246265,0.0001747043793058204,0.6814673802495766,0.0007259059998847334,3.8365108397073,0.037658713610223,0.00025385096439885,0.00025556017342743,-7.7421878114296e-09,20945331.47590485,1053.873954880864,92.79902720170105,20945331.50241792,-0.002830272869005057,92.79902720170105,0.0028828711512459,22966.017059892,-3280.8398950118,6.28535522,9.84848485,9.84848485,0.465828059,3.14156215,92.7112241,180.011511,3.14156215,3.13939224,0,1,0.523,0,0.00135437369,0.0414309421,0.348,0,0.0493042187,0.123260547,0.116815019,0,0,0,-1,-0.203673013,0,359.978954,-359.978954,360,0.0210457739,0.000367248755,-0.000173655152,0.00118071854,0,0,0,-100,-98.5374997,-2.75904999,-3.34085231,0,0,0,-0,-0.0711057528,-0.0347422708,-0.0278655192,0.0014572907,0.000381445841,0.00226727293,-0.000508594455,-0.0023254547,0.00459272763,0.00229636382,-0.00300044102,-0.000837723132,0,0,35702.2,64.913,1.29953,10.7386,138.701,0.0980677,10.4193,213.054,2456.22,65,65,0.000253455325316514319,3.3388127603430885e-07,20945331.6312005371,-0.457668301536235389
0.8,-0.5656178945248956,0.5853722648351843,-0.09594756692732485,-0.9946251221122233,-0.5041122317909652,0.03865678606034908,-0.5614507483985322,0.5853757736715736,-0.09564559953819493,11.69507834,2546078.344,135.136118851,1533.3054143,134.8336163533082,0.09624209929875495,9.036440489230978,1.196609508363593,0.04709673287316513,-0.05707888238909931,1.413418068395899,-0.09372357519759024,1.181890639697758,3.603908494366145,-0.01733891036385723,-33.37857803399741,134.8336163533087,0.09624209929875537,9.03644048923101,0.6441737324032565,1527.338811248488,135.1341341152427,0.7321599064566477,-0.01889346903023343,135.1341341152427,135.1341303724396,-0.01889346887978602,-0.7328503868633902, 1337.930962, 2.857725524,-7.063917207, 2.857725524, 1379.179417, 7.371507843,-7.063917207, 7.371507843, 2338.252732,55.13760484,1774,40.97745208568207,-1.499436302142052,36.83934611048478,19685.24286551,22966.082760526,-0.1292229841556533,4.144801564050428,359.9425423935781,0.9993451884163529,-0.001108813084199561,0.03616286828518436,-0.0004603042657254256,0.7322130288622127,-0.0004585622185436536,-0.6810746207411641,-0.001109534765375174,-0.7322130605173457,0.0004389446442469378,0.6810746336669926,0.001088444207554523,3.8341834015905,0.040805275557137,0.00029080011618462,0.00029275810828324,-1.1773389419111e-08,20945331.53329908,1206.608250801831,106.3063441204591,20945331.56805392,-0.004303939088686093,106.3063441204591,0.0033006785644699,22966.082760526,-3280.8398950116,6.28518248,9.84848485,9.84848485,0.465826782,3.14155217,106.205761,180.010939,3.14155217,3.13955499,0,1,0.523,0,0.00225536654,0.0686430107,0.348,0,0.078339772,0.19584943,0.188063151,0,0,0,-1,-0.279710786,0,359.969056,-359.969056,360,0.0309437374,0.000539968218,-0.000143013312,0.00211235323,0,0,0,-100,-98.6766761,-2.76294693,-3.49579732,0,0,0,-0,-0.0717001878,-0.0350327117,-0.0278655192,0.00247886145,0.000648841985,0.00226727293,-0.000865122647,-0.0023254547,0.00459272763,0.00229636382,-0.00327745876,-0.000915066485,0,0,33906.3,61.6478,1.29953,10.4659,132.747,0.107099,10.2522,209.191,2437.11,65,65,0.000290404136626396035,3.29577177158522051e-07,20945331.6968575232,-0.561450748398532151
0.9,-0.6607120936029665,0.5390289045347635,-0.09140000027731009,-0.89383450302347,-0.4057462816899948,0.05211741081109991,-0.6565452471992936,0.539032773775866,-0.09109392915539825,11.71468905,2548209.964,135.249556685,1533.3043188,134.948061438391,0.09814900362654409,9.025168380768031,1.092161900313212,-0.01258074399990225,-0.1697342229470635,1.41101681259434,-0.1296062138972191,1.068426336695104,3.523474139193231,-0.01726045194761007,-33.38104423718818,134.9480614383915,0.09814900362654455,9.025168380768063,0.7856913676557157,1527.327685187355,135.2466590529542,0.8848141730490564,-0.03003998996870669,135.2466590529543,135.2466539547236,-0.03003998968479957,-0.8855931109384265, 1337.930962, 2.857725524,-7.063917207, 2.857725524, 1379.179417, 7.371507843,-7.063917207, 7.371507843, 2338.252732,55.13760484,1774,40.97745208568207,-1.499436302142052,36.83934611048478,19685.323790077,22966.16368509,-0.1908439208004863,4.201184283088138,359.9329591301387,0.9993264938190765,-0.001642863073004279,0.03665495316735041,-0.0005236033749473147,0.7325475461034628,-0.0007914318201413823,-0.6807136839653596,-0.001531925513171882,-0.7325475954286255,0.0007693427207568779,0.6807137092888575,0.001508154409145761,3.8261769059764,0.041578873178043,0.00032778159370172,0.00032998858652024,-1.8384289751958e-08,20945331.60479472,1359.341605555769,119.8254783669803,20945331.64890502,-0.00672065288677004,119.8254783669803,0.003718485977694,22966.16368509,-3280.8398950147,6.28501522,9.84848485,9.84848485,0.46582521,3.14153657,119.712103,180.010045,3.14153657,3.13970665,0,1,0.523,0,0.00333085478,0.101075017,0.348,0,0.11244871,0.281121774,0.272119749,0,0,0,-1,-0.36193625,0,359.959472,-359.959472,360,0.0405277068,0.000707208484,-0.00010556375,0.00322529103,0,0,0,-100,-98.8026081,-2.76647303,-3.65206614,0,0,0,-0,-0.07227153,-0.0353118695,-0.0278655192,0.00370771875,0.000970495384,0.00226727293,-0.00129399384,-0.0023254547,0.00459272763,0.00229636382,-0.00336770249,-0.000940262535,0,0,32267.3,58.6679,1.29953,10.2179,127.395,0.10945,10.0574,205.08,2416.59,65,65,0.000327385298113494797,3.2262477776510631e-07,20945331.7777725682,-0.656545247199293525
