index,row,col,z_index,x,y,z_msl
0,16,92,94,692435.84,4189993.06,3760.00
1,17,92,94,692435.84,4189903.06,3760.00
2,18,92,94,692435.84,4189813.06,3760.00
3,21,92,93,692435.84,4189543.06,3720.00
4,24,92,92,692435.84,4189273.06,3680.00
5,27,92,91,692435.84,4189003.06,3640.00
6,30,92,90,692435.84,4188733.06,3600.00
7,33,92,89,692435.84,4188463.06,3560.00
8,36,92,88,692435.84,4188193.06,3520.00
9,39,92,87,692435.84,4187923.06,3480.00
10,42,92,86,692435.84,4187653.06,3440.00
11,45,92,85,692435.84,4187383.06,3400.00
12,46,92,85,692435.84,4187293.06,3400.00
13,47,92,85,692435.84,4187203.06,3400.00
14,48,92,85,692435.84,4187113.06,3400.00
15,51,92,84,692435.84,4186843.06,3360.00
16,52,92,84,692435.84,4186753.06,3360.00
17,53,92,84,692435.84,4186663.06,3360.00
18,54,92,84,692435.84,4186573.06,3360.00
19,55,92,84,692435.84,4186483.06,3360.00
20,58,92,85,692435.84,4186213.06,3400.00
21,61,92,86,692435.84,4185943.06,3440.00
22,64,92,87,692435.84,4185673.06,3480.00
23,67,92,88,692435.84,4185403.06,3520.00
24,70,92,89,692435.84,4185133.06,3560.00
25,73,92,90,692435.84,4184863.06,3600.00
26,76,92,91,692435.84,4184593.06,3640.00
27,79,92,92,692435.84,4184323.06,3680.00
28,82,92,93,692435.84,4184053.06,3720.00
29,85,92,94,692435.84,4183783.06,3760.00
30,88,92,95,692435.84,4183513.06,3800.00
