index,row,col,z_index,x,y,z_msl
0,48,276,188,692405.84,4190023.06,3760.00
1,49,276,188,692405.84,4189993.06,3760.00
2,50,276,188,692405.84,4189963.06,3760.00
3,51,276,188,692405.84,4189933.06,3760.00
4,52,276,188,692405.84,4189903.06,3760.00
5,56,276,187,692405.84,4189783.06,3740.00
6,60,276,186,692405.84,4189663.06,3720.00
7,64,276,185,692405.84,4189543.06,3700.00
8,65,276,185,692405.84,4189513.06,3700.00
9,66,276,185,692405.84,4189483.06,3700.00
10,67,276,185,692405.84,4189453.06,3700.00
11,68,276,185,692405.84,4189423.06,3700.00
12,69,276,185,692405.84,4189393.06,3700.00
13,70,276,185,692405.84,4189363.06,3700.00
14,71,276,185,692405.84,4189333.06,3700.00
15,72,276,185,692405.84,4189303.06,3700.00
16,73,276,185,692405.84,4189273.06,3700.00
17,74,276,185,692405.84,4189243.06,3700.00
18,75,276,185,692405.84,4189213.06,3700.00
19,76,276,185,692405.84,4189183.06,3700.00
20,77,276,185,692405.84,4189153.06,3700.00
21,78,276,185,692405.84,4189123.06,3700.00
22,79,276,185,692405.84,4189093.06,3700.00
23,80,276,185,692405.84,4189063.06,3700.00
24,81,276,185,692405.84,4189033.06,3700.00
25,82,276,185,692405.84,4189003.06,3700.00
26,83,276,185,692405.84,4188973.06,3700.00
27,84,276,185,692405.84,4188943.06,3700.00
28,85,276,185,692405.84,4188913.06,3700.00
29,86,276,185,692405.84,4188883.06,3700.00
30,87,276,185,692405.84,4188853.06,3700.00
31,88,276,185,692405.84,4188823.06,3700.00
32,89,276,185,692405.84,4188793.06,3700.00
33,90,276,185,692405.84,4188763.06,3700.00
34,91,276,185,692405.84,4188733.06,3700.00
35,92,276,185,692405.84,4188703.06,3700.00
36,93,276,185,692405.84,4188673.06,3700.00
37,94,276,185,692405.84,4188643.06,3700.00
38,95,276,185,692405.84,4188613.06,3700.00
39,96,276,185,692405.84,4188583.06,3700.00
40,97,276,185,692405.84,4188553.06,3700.00
41,98,276,185,692405.84,4188523.06,3700.00
42,99,276,185,692405.84,4188493.06,3700.00
43,100,276,185,692405.84,4188463.06,3700.00
44,101,276,185,692405.84,4188433.06,3700.00
45,102,276,185,692405.84,4188403.06,3700.00
46,103,276,185,692405.84,4188373.06,3700.00
47,104,276,185,692405.84,4188343.06,3700.00
48,105,276,185,692405.84,4188313.06,3700.00
49,106,276,185,692405.84,4188283.06,3700.00
50,107,276,185,692405.84,4188253.06,3700.00
51,108,276,185,692405.84,4188223.06,3700.00
52,109,276,185,692405.84,4188193.06,3700.00
53,110,276,185,692405.84,4188163.06,3700.00
54,111,276,185,692405.84,4188133.06,3700.00
55,112,276,185,692405.84,4188103.06,3700.00
56,113,276,185,692405.84,4188073.06,3700.00
57,117,276,184,692405.84,4187953.06,3680.00
58,121,276,183,692405.84,4187833.06,3660.00
59,125,276,182,692405.84,4187713.06,3640.00
60,129,276,181,692405.84,4187593.06,3620.00
61,133,276,180,692405.84,4187473.06,3600.00
62,137,276,179,692405.84,4187353.06,3580.00
63,141,276,178,692405.84,4187233.06,3560.00
64,145,276,177,692405.84,4187113.06,3540.00
65,149,276,178,692405.84,4186993.06,3560.00
66,153,276,177,692405.84,4186873.06,3540.00
67,157,276,178,692405.84,4186753.06,3560.00
68,161,276,179,692405.84,4186633.06,3580.00
69,165,276,178,692405.84,4186513.06,3560.00
70,169,276,179,692405.84,4186393.06,3580.00
71,173,276,180,692405.84,4186273.06,3600.00
72,177,276,179,692405.84,4186153.06,3580.00
73,181,276,180,692405.84,4186033.06,3600.00
74,185,276,181,692405.84,4185913.06,3620.00
75,189,276,180,692405.84,4185793.06,3600.00
76,193,276,181,692405.84,4185673.06,3620.00
77,197,276,182,692405.84,4185553.06,3640.00
78,201,276,181,692405.84,4185433.06,3620.00
79,205,276,182,692405.84,4185313.06,3640.00
80,209,276,183,692405.84,4185193.06,3660.00
81,213,276,182,692405.84,4185073.06,3640.00
82,217,276,183,692405.84,4184953.06,3660.00
83,221,276,184,692405.84,4184833.06,3680.00
84,225,276,183,692405.84,4184713.06,3660.00
85,229,276,182,692405.84,4184593.06,3640.00
86,230,276,182,692405.84,4184563.06,3640.00
87,231,276,182,692405.84,4184533.06,3640.00
88,232,276,182,692405.84,4184503.06,3640.00
89,233,276,182,692405.84,4184473.06,3640.00
90,234,276,182,692405.84,4184443.06,3640.00
91,235,276,182,692405.84,4184413.06,3640.00
92,236,276,182,692405.84,4184383.06,3640.00
93,237,277,182,692435.84,4184353.06,3640.00
94,241,277,183,692435.84,4184233.06,3660.00
95,245,277,184,692435.84,4184113.06,3680.00
96,249,277,185,692435.84,4183993.06,3700.00
97,253,277,186,692435.84,4183873.06,3720.00
98,254,277,186,692435.84,4183843.06,3720.00
99,255,277,186,692435.84,4183813.06,3720.00
100,256,277,186,692435.84,4183783.06,3720.00
101,257,277,186,692435.84,4183753.06,3720.00
102,258,277,186,692435.84,4183723.06,3720.00
103,259,277,186,692435.84,4183693.06,3720.00
104,263,277,187,692435.84,4183573.06,3740.00
