index,row,col,z_index,x,y,z_msl
0,48,276,188,692405.84,4190023.06,3760.00
1,49,276,188,692405.84,4189993.06,3760.00
2,50,277,188,692435.84,4189963.06,3760.00
3,54,277,187,692435.84,4189843.06,3740.00
4,58,277,186,692435.84,4189723.06,3720.00
5,62,277,185,692435.84,4189603.06,3700.00
6,66,277,184,692435.84,4189483.06,3680.00
7,70,277,183,692435.84,4189363.06,3660.00
8,74,277,182,692435.84,4189243.06,3640.00
9,78,277,181,692435.84,4189123.06,3620.00
10,82,277,180,692435.84,4189003.06,3600.00
11,86,277,179,692435.84,4188883.06,3580.00
12,90,277,178,692435.84,4188763.06,3560.00
13,94,277,177,692435.84,4188643.06,3540.00
14,98,277,176,692435.84,4188523.06,3520.00
15,102,277,175,692435.84,4188403.06,3500.00
16,106,277,174,692435.84,4188283.06,3480.00
17,110,277,173,692435.84,4188163.06,3460.00
18,111,277,173,692435.84,4188133.06,3460.00
19,112,277,173,692435.84,4188103.06,3460.00
20,113,277,173,692435.84,4188073.06,3460.00
21,114,277,173,692435.84,4188043.06,3460.00
22,115,277,173,692435.84,4188013.06,3460.00
23,116,277,173,692435.84,4187983.06,3460.00
24,117,277,173,692435.84,4187953.06,3460.00
25,118,277,173,692435.84,4187923.06,3460.00
26,119,277,173,692435.84,4187893.06,3460.00
27,120,277,173,692435.84,4187863.06,3460.00
28,121,277,173,692435.84,4187833.06,3460.00
29,122,277,173,692435.84,4187803.06,3460.00
30,123,277,173,692435.84,4187773.06,3460.00
31,124,277,173,692435.84,4187743.06,3460.00
32,125,277,173,692435.84,4187713.06,3460.00
33,126,277,173,692435.84,4187683.06,3460.00
34,127,277,173,692435.84,4187653.06,3460.00
35,128,277,173,692435.84,4187623.06,3460.00
36,129,277,173,692435.84,4187593.06,3460.00
37,130,277,173,692435.84,4187563.06,3460.00
38,131,277,173,692435.84,4187533.06,3460.00
39,132,277,173,692435.84,4187503.06,3460.00
40,133,277,173,692435.84,4187473.06,3460.00
41,134,277,173,692435.84,4187443.06,3460.00
42,135,277,173,692435.84,4187413.06,3460.00
43,136,277,173,692435.84,4187383.06,3460.00
44,137,277,173,692435.84,4187353.06,3460.00
45,138,277,173,692435.84,4187323.06,3460.00
46,139,277,173,692435.84,4187293.06,3460.00
47,143,277,172,692435.84,4187173.06,3440.00
48,147,277,171,692435.84,4187053.06,3420.00
49,151,277,170,692435.84,4186933.06,3400.00
50,155,277,169,692435.84,4186813.06,3380.00
51,159,277,168,692435.84,4186693.06,3360.00
52,163,277,167,692435.84,4186573.06,3340.00
53,167,277,166,692435.84,4186453.06,3320.00
54,168,277,166,692435.84,4186423.06,3320.00
55,169,277,166,692435.84,4186393.06,3320.00
56,170,277,166,692435.84,4186363.06,3320.00
57,171,277,166,692435.84,4186333.06,3320.00
58,172,277,166,692435.84,4186303.06,3320.00
59,173,277,166,692435.84,4186273.06,3320.00
60,174,277,166,692435.84,4186243.06,3320.00
61,177,274,167,692345.84,4186153.06,3340.00
62,181,274,168,692345.84,4186033.06,3360.00
63,185,274,167,692345.84,4185913.06,3340.00
64,189,274,168,692345.84,4185793.06,3360.00
65,193,274,169,692345.84,4185673.06,3380.00
66,194,273,169,692315.84,4185643.06,3380.00
67,198,273,170,692315.84,4185523.06,3400.00
68,199,273,170,692315.84,4185493.06,3400.00
69,200,273,170,692315.84,4185463.06,3400.00
70,201,273,170,692315.84,4185433.06,3400.00
71,205,273,171,692315.84,4185313.06,3420.00
72,209,273,172,692315.84,4185193.06,3440.00
73,213,273,173,692315.84,4185073.06,3460.00
74,217,273,174,692315.84,4184953.06,3480.00
75,221,273,175,692315.84,4184833.06,3500.00
76,225,273,176,692315.84,4184713.06,3520.00
77,229,273,177,692315.84,4184593.06,3540.00
78,233,273,178,692315.84,4184473.06,3560.00
79,237,273,179,692315.84,4184353.06,3580.00
80,241,273,180,692315.84,4184233.06,3600.00
81,238,276,181,692405.84,4184323.06,3620.00
82,242,276,182,692405.84,4184203.06,3640.00
83,246,276,183,692405.84,4184083.06,3660.00
84,250,276,184,692405.84,4183963.06,3680.00
85,254,276,185,692405.84,4183843.06,3700.00
86,255,276,185,692405.84,4183813.06,3700.00
87,259,276,186,692405.84,4183693.06,3720.00
88,263,276,187,692405.84,4183573.06,3740.00
