index,row,col,z_index,x,y,z_msl
0,48,276,188,692405.84,4190023.06,3760.00
1,52,276,189,692405.84,4189903.06,3780.00
2,56,276,188,692405.84,4189783.06,3760.00
3,60,276,187,692405.84,4189663.06,3740.00
4,64,276,186,692405.84,4189543.06,3720.00
5,68,276,185,692405.84,4189423.06,3700.00
6,72,276,184,692405.84,4189303.06,3680.00
7,76,276,183,692405.84,4189183.06,3660.00
8,80,276,182,692405.84,4189063.06,3640.00
9,84,276,181,692405.84,4188943.06,3620.00
10,88,276,180,692405.84,4188823.06,3600.00
11,92,276,179,692405.84,4188703.06,3580.00
12,96,276,178,692405.84,4188583.06,3560.00
13,100,276,177,692405.84,4188463.06,3540.00
14,104,276,176,692405.84,4188343.06,3520.00
15,108,276,177,692405.84,4188223.06,3540.00
16,112,276,176,692405.84,4188103.06,3520.00
17,116,276,177,692405.84,4187983.06,3540.00
18,120,276,178,692405.84,4187863.06,3560.00
19,124,276,177,692405.84,4187743.06,3540.00
20,128,276,178,692405.84,4187623.06,3560.00
21,132,276,177,692405.84,4187503.06,3540.00
22,136,276,178,692405.84,4187383.06,3560.00
23,140,276,179,692405.84,4187263.06,3580.00
24,144,276,178,692405.84,4187143.06,3560.00
25,148,276,179,692405.84,4187023.06,3580.00
26,152,276,180,692405.84,4186903.06,3600.00
27,156,276,179,692405.84,4186783.06,3580.00
28,160,276,180,692405.84,4186663.06,3600.00
29,164,276,181,692405.84,4186543.06,3620.00
30,168,276,180,692405.84,4186423.06,3600.00
31,172,276,181,692405.84,4186303.06,3620.00
32,176,276,180,692405.84,4186183.06,3600.00
33,180,276,181,692405.84,4186063.06,3620.00
34,184,276,182,692405.84,4185943.06,3640.00
35,188,276,181,692405.84,4185823.06,3620.00
36,192,276,182,692405.84,4185703.06,3640.00
37,196,276,183,692405.84,4185583.06,3660.00
38,200,276,182,692405.84,4185463.06,3640.00
39,204,276,183,692405.84,4185343.06,3660.00
40,208,276,184,692405.84,4185223.06,3680.00
41,212,276,183,692405.84,4185103.06,3660.00
42,216,276,184,692405.84,4184983.06,3680.00
43,220,276,183,692405.84,4184863.06,3660.00
44,224,276,184,692405.84,4184743.06,3680.00
45,228,276,185,692405.84,4184623.06,3700.00
46,232,276,184,692405.84,4184503.06,3680.00
47,236,276,185,692405.84,4184383.06,3700.00
48,240,276,186,692405.84,4184263.06,3720.00
49,244,276,185,692405.84,4184143.06,3700.00
50,248,276,186,692405.84,4184023.06,3720.00
51,252,276,187,692405.84,4183903.06,3740.00
52,256,276,186,692405.84,4183783.06,3720.00
53,260,276,187,692405.84,4183663.06,3740.00
54,264,276,188,692405.84,4183543.06,3760.00
