scenario,msl_cost_weight,status,runtime_ms,expanded_nodes,path_state_count,geometric_path_length_m,total_weighted_cost,average_msl_m,minimum_msl_m,maximum_msl_m,total_climb_m,total_descent_m,total_vertical_motion_m,minimum_observed_agl_m
A_low_msl,0.0,success,207.94,41,41,1200.0,1200.0,1320.0,1320.0,1320.0,0.0,0.0,0.0,320.0
A_low_msl,0.25,success,322.66,66,35,1203.31,1594.99,1302.02,1300.0,1320.0,20.0,20.0,40.0,300.0
A_low_msl,0.5,success,273.75,55,35,1203.31,1986.68,1302.02,1300.0,1320.0,20.0,20.0,40.0,300.0
A_low_msl,1.0,success,246.37,49,35,1203.31,2770.05,1302.02,1300.0,1320.0,20.0,20.0,40.0,300.0
B_vertical,0.0,success,127.77,51,51,1500.0,1500.0,1400.0,1400.0,1400.0,0.0,0.0,0.0,400.0
B_vertical,0.25,success,684.35,255,33,1509.93,2021.23,1354.5,1340.0,1400.0,60.0,60.0,120.0,340.0
B_vertical,0.5,success,871.51,315,27,1513.24,2531.45,1345.73,1320.0,1400.0,80.0,80.0,160.0,320.0
B_vertical,1.0,success,935.88,361,21,1516.55,3548.9,1340.11,1300.0,1400.0,100.0,100.0,200.0,300.0
C_real_roi,0.0,success,310.82,39,39,1140.0,1140.0,2840.0,2840.0,2840.0,0.0,0.0,0.0,221.15
C_real_roi,0.25,success,1043.57,143,39,1140.0,1949.4,2840.0,2840.0,2840.0,0.0,0.0,0.0,221.15
C_real_roi,0.5,success,1301.0,182,33,1143.31,2756.59,2822.13,2820.0,2840.0,20.0,20.0,40.0,219.49
C_real_roi,1.0,success,1524.4,204,27,1146.62,4366.89,2808.49,2800.0,2840.0,40.0,40.0,80.0,219.49
